L/M_CENTURY_____IHLMCC,0,1,20.0 (722325),"20.0, 20.0, 20.0, 20.0, 20.0",Category/Code,nvarchar,(MAX),722325,0,0.00%,7
Processed_Century_____IHPRCC,0,1,20.0 (722325),"20.0, 20.0, 20.0, 20.0, 20.0",Category/Code,nvarchar,(MAX),722325,0,0.00%,7
Rebate_Cost_____IHRCST,0,1,0.0 (722325),"0.0, 0.0, 0.0, 0.0, 0.0",Category/Code,nvarchar,(MAX),722325,0,0.00%,7
Time_Stamp_____IHSTMP,0,1,0.0 (722325),"0.0, 0.0, 0.0, 0.0, 0.0",Category/Code,nvarchar,(MAX),722325,0,0.00%,7
Trans_CC_____IHTRCC,0,1,20.0 (722325),"20.0, 20.0, 20.0, 20.0, 20.0",Category/Code,nvarchar,(MAX),722325,0,0.00%,7
Trans_District_____IHTRND,0,1,1.0 (722325),"1.0, 1.0, 1.0, 1.0, 1.0",Category/Code,nvarchar,(MAX),722325,0,0.00%,7
Extended_Trans_Cost_____IHECST,0,357741,"FT  (706216), LB  (16081), EA  (28)","-2260.0300000000002, 38.979999999999997, 667.25999999999999, 7190.4399999999996, -105.40000000000001",Text,nvarchar,(MAX),722325,0,0.00%,8
TAG_NUMBER_ALPHA_____IHTAG,0,288333,"    (719873), EA  (1581), NC  (588), IN  (224), FT  (40), LOT (18), LB  (1)","       ,  197256,  309831,  300275,  125949",Text,nvarchar,(MAX),722325,0,0.00%,8
Transaction_#_____IHTRN#,0,251524,1.0 (722325),"849123.0, 77461.0, 970300.0, 24166.0, 54925.0",Text,nvarchar,(MAX),722325,0,0.00%,8
Qty_On_Hand_____IHQOH,0,240060,"0.0 (388087), 1.0 (334120), 3.0 (63), 2.0 (55)","153.751, 190.916, 0.0, 3866.335, 30.082000000000001",Text,nvarchar,(MAX),722325,0,0.00%,8
Average_Cost_____IHACST,0,142655,"0.0 (388087), 1.0 (334120), 3.0 (63), 2.0 (55)","89.7714, 521.55330000000004, 214.6643, 419.69420000000002, 143.66810000000001",Text,nvarchar,(MAX),722325,0,0.00%,8
Document_#_____IHDOC#,0,92139,"3.0 (72886), 2.0 (66971), 4.0 (64941), 1.0 (62664), 6.0 (60605), 5.0 (60567), 8.0 (60147), 10.0 (59486), 7.0 (55266), 9.0 (54671)","84371.0, 37038.0, 0.0, 0.0, 0.0",Text,nvarchar,(MAX),722325,0,0.00%,8
PO_Rcpt_List#_____IHLIST,0,61062,"0.0 (388087), 1.0 (334120), 3.0 (63), 2.0 (55)","0145792,        , 0142420,        ,        ",Text,nvarchar,(MAX),722325,0,0.00%,8
Trans_Cost_____IHTCST,0,52826,"IA (336352), IN (205395), RE (111044), PO (59739), OR (5016), OW (4317), CR (462)","58.1068, 77.646799999999999, 23.424800000000001, 26.8626, 89.329499999999996",Text,nvarchar,(MAX),722325,0,0.00%,8
Time_____IHTIME,0,46327,"3.0 (72886), 2.0 (66971), 4.0 (64941), 1.0 (62664), 6.0 (60605), 5.0 (60567), 8.0 (60147), 10.0 (59486), 7.0 (55266), 9.0 (54671)","84251.0, 95028.0, 140609.0, 151752.0, 110540.0",Text,nvarchar,(MAX),722325,0,0.00%,8
Trans_Inv_Qty_____IHTQTY,0,17922,"IA (336352), IN (205395), RE (111044), PO (59739), OR (5016), OW (4317), CR (462)","0.91600000000000004, -20.584, 11.75, -4.5830000000000002, -27.5",Text,nvarchar,(MAX),722325,0,0.00%,8
Heat_#_____IHHEAT,0,16846,"3.0 (72886), 2.0 (66971), 4.0 (64941), 1.0 (62664), 6.0 (60605), 5.0 (60567), 8.0 (60147), 10.0 (59486), 7.0 (55266), 9.0 (54671)","88879          , X0959          , 42557          , D1716574       , D2114028       ",Text,nvarchar,(MAX),722325,0,0.00%,8
Assoc_PO_Number_____IHPONM,0,14687,"0.0 (386967), 1.0 (335358)","508926.0, 512192.0, 0.0, 500797.0, 0.0",Text,nvarchar,(MAX),722325,0,0.00%,8
Trans_Length_____IHLNTH,0,2660,"         (722325)","84.0, 100.0, 247.0, 147.0, 16.0",Text,nvarchar,(MAX),722325,0,0.00%,8
ITEM_NUMBER_____IHITEM,0,2458,1.0 (722325),"50608, 50156, 50229, 50076, 99999",Text,nvarchar,(MAX),722325,0,0.00%,8
CUSTOMER_NUMBER_____IHCUST,0,1128,"0.0 (405424), 1.0 (316901)","102.0, 0.0, 0.0, 0.0, 0.0",Text,nvarchar,(MAX),722325,0,0.00%,8
Trans_Price_____IHTPRC,0,1034,"FT  (706216), LB  (16081), EA  (28)","0.0, 0.0, 0.0, 0.0, 0.0",Text,nvarchar,(MAX),722325,0,0.00%,8
Extended_Trans_Price_____IHEPRC,0,947,"    (719873), EA  (1581), NC  (588), IN  (224), FT  (40), LOT (18), LB  (1)","0.0, 0.0, 0.0, 0.0, 0.0",Text,nvarchar,(MAX),722325,0,0.00%,8
Time_Stamp_____IHTIMES,0,292,0.0 (722325),"2024-11-08 22:17:43.000, 2024-11-08 22:17:43.000, 2024-11-08 22:17:43.000, 2024-11-08 22:17:43.000, 2024-11-08 22:17:43.000",Text,nvarchar,(MAX),722325,0,0.00%,8
Vendor_#_____IHVNDR,0,170,"         (722325)","0.0, 0.0, 0.0, 0.0, 0.0",Text,nvarchar,(MAX),722325,0,0.00%,8
Assoc_Used_Line_____IHTULN,0,79,1.0 (722325),"0.0, 1.0, 4.0, 0.0, 10.0",Text,nvarchar,(MAX),722325,0,0.00%,8
Assoc_Main_Line_____IHTMLN,0,45,1.0 (722325),"2.0, 1.0, 6.0, 1.0, 3.0",Text,nvarchar,(MAX),722325,0,0.00%,8
L/M_DAY_____IHLMDD,0,31,"3.0 (72886), 2.0 (66971), 4.0 (64941), 1.0 (62664), 6.0 (60605), 5.0 (60567), 8.0 (60147), 10.0 (59486), 7.0 (55266), 9.0 (54671)","12.0, 13.0, 17.0, 7.0, 30.0",Text,nvarchar,(MAX),722325,0,0.00%,8
Trans_DD_____IHTRDD,0,31,"3.0 (72937), 2.0 (66930), 4.0 (64949), 1.0 (62606), 5.0 (60616), 6.0 (60563), 8.0 (60113), 10.0 (59492), 7.0 (55260), 9.0 (54727)","26.0, 24.0, 21.0, 13.0, 14.0",Text,nvarchar,(MAX),722325,0,0.00%,8
3_POSITION_CLASS_____IHCLS3,0,28,"    (719873), EA  (1581), NC  (588), IN  (224), FT  (40), LOT (18), LB  (1)","ATH, ABH, ATH, ATH, ATC",Text,nvarchar,(MAX),722325,0,0.00%,8
L/M_USER_____IHLMUS,0,26,"3.0 (72886), 2.0 (66971), 4.0 (64941), 1.0 (62664), 6.0 (60605), 5.0 (60567), 8.0 (60147), 10.0 (59486), 7.0 (55266), 9.0 (54671)","HCHARLTO  , YRIOS     , PBRYAN    , PBRYAN    , PBRYAN    ",Text,nvarchar,(MAX),722325,0,0.00%,8
Trans_Width_____IHWDTH,0,25,"         (722325)","0.0, 0.0, 0.0, 0.0, 0.0",Text,nvarchar,(MAX),722325,0,0.00%,8
