TableName,Column3,TableCode,Rowcount,Prefix1,Suffix1,suffix2,suffix3,InferredName
z_Maintenance_history_____MAINTHIST, ,MAINTHIST,6363,,,,,
z_Material_Rejection_Major_Cause_code_____MAJREJ, ,MAJREJ,17,,,,,
z_MASSBPC_-_Mass_maint/base_price_____MASSBPC, ,MASSBPC,5,,,,,
z_MASSBPC_-_Mass_maint/base_price_.CSV_converter_____MASSBPCIFS, ,MASSBPCIFS,6,,,,,
z_Metalweb_FMG_interface_____METALFMG, ,METALFMG,8,,,,,
z_Material_Rejection_Minor_Cause_codes_____MINREJ, ,MINREJ,26,,,,,
z_Manifest_____MNFEST, ,MNFEST,374,,,,,
z_Material_Processing_Order_Detail_____MPDETAIL, ,MPDETAIL,455,,,,,
z_Material_Processing_Order_Header_____MPHDRORD, ,MPHDRORD,456,,,,,
z_M/P_Final_Detail_____MPHSTDET, ,MPHSTDET,1872,,,,,
z_M/P_Final_Header_____MPHSTHDR, ,MPHSTHDR,1869,,,,,
z_M/P_Final_Processing_Charges_____MPHSTPRC, ,MPHSTPRC,6167,,,,,
z_M/P_Final_Restock_____MPHSTRSK, ,MPHSTRSK,7656,,,,,
z_M/P_Final_Used_____MPHSTUSE, ,MPHSTUSE,6554,,,,,
z_Output_file_for_DSPFD_TYPE(*MBRLIST)_____MPMISS, ,MPMISS,2,,,,,
z_Material_Processing_Order_Profile_____MPPROFIL, ,MPPROFIL,456,,,,,
z_MP_Setup_Control_File_____MPSETUP, ,MPSETUP,1924,,,,,
z_MP_Tracking_File_____MPTRCK, ,MPTRCK,1748,,,,,
z_MP_Tracking_History_File_____MPTRKHST, ,MPTRKHST,26661,,,,,
z_Material_Rejection_Transaction_File_____MRTRANS, ,MRTRANS,21,,,,,
z_Setup_Whole_Order_Line_Related_Comments_____MSWOCMNT, ,MSWOCMNT,7,,,,,
z_Customer_Master_File_____MWARCUST, ,MWARCUST,980,,,,,
z_mw100_reset_audit_trail_____MWRESET, ,MWRESET,1824,,,,,
z_Credit-Held_Order_Release_File_____OECRRELS, ,OECRRELS,48601,,,,,
z_Order_Detail_File_____OEDETAIL, ,OEDETAIL,151243,,,,,
z_Quote_/_Order_Detail_History_File_____OEHISTRD, ,OEHISTRD,293623,,,,,
z_Quote_/_Order_History_Header_File_____OEHISTRY, ,OEHISTRY,299363,,,,,
z_Open_Order_File_____OEOPNORD, ,OEOPNORD,153764,,,,,
z_Order_Profile_File_____OEPROFIL, ,OEPROFIL,153770,,,,,
z_Order_Ship_Instructions_____OESHPINS, ,OESHPINS,186850,,,,,
z_Operational_Information_____OPERINFO, ,OPERINFO,6705,,,,,
z_Order_Tracking_File_____ORDTRCK, ,ORDTRCK,151170,,,,,
z_Order_Tracking_File_____ORDTRHST, ,ORDTRHST,2840862,,,,,
z_partxml0_____PARTXMNT, ,PARTXMNT,3733,,,,,
z_Customer_Part_Number_Cross_Reference_____PARTXRF, ,PARTXRF,28,,,,,
z_PC_Tracking_File_____PCTRCK, ,PCTRCK,41606,,,,,
z_Physical_Analysis_File_____PHYSTAGM, ,PHYSTAGM,8,,,,,
z_Picker_Detail_File_____PICKDTL, ,PICKDTL,147991,,,,,
z_Price_Matrix_File_____PMATRX, ,PMATRX,13,,,,,
z_Price_Matrix_File_____PMATRX_B4, ,PMATRX_B4,149,,,,,
z_P/O_Cash_Movement_____POCASHMV, ,POCASHMV,1302,,,,,
z_Purchase_Order_Change_File_____POCHANGE, ,POCHANGE,1261,,,,,
z_PO_Delivery_Date_Change_Log_____POCHGLOG, ,POCHGLOG,4558,,,,,
z_PO_Company_SMO_File_____POCMPSMO, ,POCMPSMO,45504,,,,,
z_Purchase_Order_Comment_File_(Whole_Order)_____POCOMMNT, ,POCOMMNT,558,,,,,
z_Purchase_order_delete_file_____PODELET, ,PODELET,103,,,,,
z_Purchase_Order_Detail_File_____PODETAIL, ,PODETAIL,5000,,,,,
z_Purchase_Order_Header_File_____POHEADER, ,POHEADER,5026,,,,,
z_Purchase_Order_Header_File_____POHEADERBH, ,POHEADERBH,743,,,,,
z_Purchase_Order_Mark/Pack/Load_____POMKPKLD, ,POMKPKLD,2835,,,,,
z_Port_of_Entry_File_____PORTNTRY, ,PORTNTRY,5,,,,,
z_Posting_Period_File_____POSTPRD, ,POSTPRD,9,,,,,
z_PO_Tracking_File_____POTRCK, ,POTRCK,17262,,,,,
z_PO_Tracking_History_File_____POTRKHST, ,POTRKHST,112129,,,,,
z_Process_Charges__-_Header_____PRCHCHRG, ,PRCHCHRG,38830,,,,,
z_Process_Charges__-_Test_Quantity_____PRCHTQTY, ,PRCHTQTY,34992,,,,,
z_Process_Charges__-_Transactions_____PRCTCHRG, ,PRCTCHRG,68534,,,,,
z_Process_Charges__-_Dimensions_____PRCTDIM, ,PRCTDIM,32,,,,,
z_Product_Class/Subclass_File_____PRDSBCLS, ,PRDSBCLS,412,,,,,
z_Produced_From_____PRODFROM, ,PRODFROM,47861,,,,,
z_PRODPROC_--Production_Process_Codes_____PRODPROC, ,PRODPROC,105,,,,,
z_Print_Request_File_____PRTREQST, ,PRTREQST,5,,,,,
z_Purchase_Comments_____PURCCOMM, ,PURCCOMM,7,,,,,
z_Rcptcost_-_PO_receipt_cost_history_____RCPTCOST, ,RCPTCOST,36297,,,,,
z_Purchase_Order_Receipt_History_____RCPTHIST, ,RCPTHIST,15489,,,,,
z_RECONHST_--Reconciliation_History_____RECONHST, ,RECONHST,92067,,,,,
z_Remote_Inventory_On_Hand_File_____REMOTEOH, ,REMOTEOH,1141,,,,,
z_Inventory_Restock_File_____RESTOCK, ,RESTOCK,113922,,,,,
z_Risk_Status_File_____RISKSTAT, ,RISKSTAT,9,,,,,
z_Sales_Analysis_Daily_file_____SADAILY, ,SADAILY,5,,,,,
z_S/A_Gross_Profit_Adjustment_Physical_file_____SAGPADJ, ,SAGPADJ,18854,,,,,
z_Sales_Budgeting_File_____SALESBUD, ,SALESBUD,1302,,,,,
z_Salesman_Master_File_____SALESMAN, ,SALESMAN,36,,,,,
z_Customer_Sales_Objective_File_____SALESOBJ, ,SALESOBJ,10042,,,,,
z_Salestax_File_____SALESTAX, ,SALESTAX,60,,,,,
z_Sales_Analysis_Monthly_file_____SAMTHLY, ,SAMTHLY,312,,,,,
z_SUBFILE_DISPLAY_CONTROL_OPTIONS_FILE_____SFILEDFT, ,SFILEDFT,49,,,,,
z_Sheet/Split_Coil_Analysis_File_____SHEETANL, ,SHEETANL,20020,,,,,
z_Customer_Ship_To_Address_File_____SHIPADR, ,SHIPADR,3295,,,,,
z_Customer_Ship_To_Background_Information_____SHIPBCKG, ,SHIPBCKG,2,,,,,
z_ShipTo_Dispatch_info_____SHIPDISP, ,SHIPDISP,658,,,,,
z_Shipments_File_____SHIPMAST, ,SHIPMAST,150390,,,,,
z_Customer_Ship_To_Instruction_File_____SHPINST, ,SHPINST,731,,,,,
z_Shipment_Summary_File_____SHSUMM, ,SHSUMM,35983,,,,,
z_Standard_Industry_Code_File_____SICODE, ,SICODE,427,,,,,
z_Salesman_Recap_-_Calc_d_Sales_Figures_(Workfile)_____SLMNRCAP, ,SLMNRCAP,2103,,,,,
z_Salesman_Summary_file_MTD_____SLMNSUM, ,SLMNSUM,2103,,,,,
z_S/A_Item_Summary_MTD-Inventory_reports_____SLSASMT, ,SLSASMT,58148,,,,,
z_S/A_Item_Summary_YTD-Inventory_reports_____SLSASYT, ,SLSASYT,10704,,,,,
z_Sales_Description_Override_____SLSDSCOV, ,SLSDSCOV,165327,,,,,
z_SLITTER_SET-UP_PRODUCED_(MADE)_ITEM_FILE_____SLTML, ,SLTML,3818,,,,,
z_SLITTER_SET-UP_USED_ITEM_FILE_____SLTUL, ,SLTUL,9009,,,,,
z_Service_Purchase_Order_Detail_File_____SPDETAIL, ,SPDETAIL,347067,,,,,
z_Service_Purchase_Order_Header_File_____SPHEADER, ,SPHEADER,54512,,,,,
z_SPO_Tracking_File_____SPOTRCK, ,SPOTRCK,385207,,,,,
z_Surface_condition_____SURFCOND, ,SURFCOND,11,,,,,
z_System_Parameter_Last_Maintained_Reference_File_____SYSCNSLM, ,SYSCNSLM,83,,,,,
z_TAGBUILD_--Tag_Build_Up_____TAGBUILD, ,TAGBUILD,5511,,,,,
z_Tag_Related_Comments_____TAGCMNT, ,TAGCMNT,5,,,,,
z_Tag_Location_Movement_History_____TAGLOCMV, ,TAGLOCMV,508956,,,,,
z_TAGTRAN_--_Tag_Status_transaction_____TAGTRAN, ,TAGTRAN,304505,,,,,
z_Tax_Exemption_File_____TAXEXMPT, ,TAXEXMPT,845,,,,,
z_Master_Terms_Code_File_____TERMS, ,TERMS,154,,,,,
z_Tolerance_Details_for_Main_Lines_____TLDETAIL, ,TLDETAIL,112352,,,,,
z_Tracking_Outputq_File_____TRKOUTQ, ,TRKOUTQ,90,,,,,
z_User_Defined_Data_-_Validation_List_____UDFDATAL, ,UDFDATAL,9,,,,,
z_User_Defined_Data_-_Data_Type_Definition_____UDFDATAT, ,UDFDATAT,2,,,,,
z_User_Defined_Data_-_Data_Values_____UDFDATAV, ,UDFDATAV,2,,,,,
z_Upload_Data_from_IFS_____UPINPF, ,UPINPF,115,,,,,
z_Upload_PC_file_for_Batch_Scanners_____UPLOADPI, ,UPLOADPI,521,,,,,
z_Used_line_pallet_info_____USEDBLD, ,USEDBLD,206158,,,,,
z_Used_Line_File_____USEDLINE, ,USEDLINE,206285,,,,,
z_Usetax_File_____USETAX, ,USETAX,52,,,,,
z_Vendor_P.O._Instructions_____VENDINST, ,VENDINST,2,,,,,
z_Vendor_Mail_To_Address_File_____VENDMAIL, ,VENDMAIL,802,,,,,
z_VENDPFR_Vendor_Performance_File_____VENDPRFM, ,VENDPRFM,815,,,,,
z_Vendor_Quality_Approval_File_____VENDQUAL, ,VENDQUAL,323,,,,,
z_Vendor_Remit_To_Address_File_____VENDREMT, ,VENDREMT,730,,,,,
z_Vendor_Ship_To_Address_File_____VENDSHIP, ,VENDSHIP,789,,,,,
z_Vendor_Request_Header_File_____VNDREQHD, ,VNDREQHD,304,,,,,
z_E/C_Customer_____WEBCUST, ,WEBCUST,4,,,,,
z_fax/email_wire_transfer/ach_payments_____WFAP855W, ,WFAP855W,44,,,,,
z_Work_file_to_hold_documents_to_be_faxed_____WFFAXEMAIL, ,WFFAXEMAIL,5575,,,,,
z_Work_File_-_IN896_-_Inventory_Dollars_Sold_____WFIN8960, ,WFIN8960,9,,,,,
z_Daily_invoicing_analysis_____WFOE895, ,WFOE895,70,,,,,
z_WHMPTRC_--PF_File_Mask_____WHMPTRC, ,WHMPTRC,13,,,,,
z_Whole_Order_Charge_Transaction_File_____WHOLORCH, ,WHOLORCH,1890,,,,,
z_Warehouse_Order_Tracking_Code_File_____WHORDTRC, ,WHORDTRC,173,,,,,
z_Warehouse_Process_Charges_Tracking_Code_File_____WHPCTRC, ,WHPCTRC,6,,,,,
z_Warehouse_PO_Tracking_Code_File_____WHPOTRC, ,WHPOTRC,36,,,,,
z_Warehouse:_District/Code_____WHSEMCOD, ,WHSEMCOD,6,,,,,
z_Warehouse_Order_Tracking_Email_File_____WHTRCKEM, ,WHTRCKEM,26,,,,,
z_outbound_820_ach_vendor_____X820OAB, ,X820OAB,2174,,,,,
z_outbound_820_ach_detail_____X820OAD, ,X820OAD,14269,,,,,
z_outbound_820_ach_header_____X820OAH, ,X820OAH,63,,,,,
